지역코드,시군구
11680,서울시 강남구
11740,서울시 강동구
11305,서울시 강북구
11500,서울시 강서구
11620,서울시 관악구
11215,서울시 광진구
11530,서울시 구로구
11545,서울시 금천구
11350,서울시 노원구
11320,서울시 도봉구
11230,서울시 동대문구
11590,서울시 동작구
11440,서울시 마포구
11410,서울시 서대문구
11650,서울시 서초구
11200,서울시 성동구
11290,서울시 성북구
11710,서울시 송파구
11470,서울시 양천구
11560,서울시 영등포구
11170,서울시 용산구
11380,서울시 은평구
11110,서울시 종로구
11140,서울시 중구
11260,서울시 중랑구
41820,경기도 가평군 가평읍
41281,경기도 고양시 덕양구
41285,경기도 고양시 일산동구
41287,경기도 고양시 일산서구
41290,경기도 과천시
41210,경기도 광명시
41610,경기도 광주시
41310,경기도 구리시
41410,경기도 군포시
41570,경기도 김포시
41360,경기도 남양주시
41250,경기도 동두천시
41194,경기도 부천시 소사구
41196,경기도 부천시 오정구
41192,경기도 부천시 원미구
41135,경기도 성남시 분당구
41131,경기도 성남시 수정구
41133,경기도 성남시 중원구
41113,경기도 수원시 권선구
41117,경기도 수원시 영통구
41111,경기도 수원시 장안구
41115,경기도 수원시 팔달구
41390,경기도 시흥시
41273,경기도 안산시 단원구
41271,경기도 안산시 상록구
41550,경기도 안성시
41173,경기도 안양시 동안구
41171,경기도 안양시 만안구
41630,경기도 양주시
41830,경기도 양평군 강상면
41670,경기도 여주시 가남읍
41800,경기도 연천군 연천읍
41370,경기도 오산시
41463,경기도 용인시 기흥구
41465,경기도 용인시 수지구
41461,경기도 용인시 처인구
41430,경기도 의왕시
41150,경기도 의정부시
41500,경기도 이천시
41480,경기도 파주시
41220,경기도 평택시
41650,경기도 포천시 가산면
41450,경기도 하남시
41590,경기도 화성시
28710,인천시 강화군 강화읍
28245,인천시 계양구
28200,인천시 남동구
28140,인천시 동구
28177,인천시 미추홀구
28237,인천시 부평구
28260,인천시 서구
28185,인천시 연수구
28110,인천시 중구
26440,부산시 강서구
26410,부산시 금정구
26710,부산시 기장군 기장읍
26290,부산시 남구
26170,부산시 동구
26260,부산시 동래구
26230,부산시 부산진구
26320,부산시 북구
26530,부산시 사상구
26380,부산시 사하구
26140,부산시 서구
26500,부산시 수영구
26470,부산시 연제구
26200,부산시 영도구
26110,부산시 중구
26350,부산시 해운대구
30230,대전시 대덕구
30110,대전시 동구
30170,대전시 서구
30200,대전시 유성구
30140,대전시 중구
27200,대구시 남구
27290,대구시 달서구
27710,대구시 달성군 가창면
27140,대구시 동구
27230,대구시 북구
27170,대구시 서구
27260,대구시 수성구
27110,대구시 중구
27720,대구시 군위군 군위읍
31140,울산시 남구
31170,울산시 동구
31200,울산시 북구
31710,울산시 울주군 두동면
